14/02/2025 01:56:25 PM : root         : INFO     :  ******** Portal_Login_Page (Order - 1) Begin ********
14/02/2025 01:56:25 PM : root         : INFO     : ********** TC_Portal_Login_01 started ********
14/02/2025 01:56:25 PM : root         : INFO     : open_portal_url_and_verify_expected_url_is_visible_verify_expected_page_title_is_visible_and_verify_face_first_logo_is_visible
14/02/2025 01:56:30 PM : root         : INFO     : actual url: https://ftecore5-vm.qa.facefirst.dev/
14/02/2025 01:56:30 PM : root         : INFO     : expected Portal url: https://ftecore5-vm.qa.facefirst.dev/
14/02/2025 01:56:31 PM : root         : INFO     : actual title: FaceFirst
14/02/2025 01:56:32 PM : root         : INFO     : expected title: FaceFirst
14/02/2025 01:56:33 PM : root         : INFO     : entered explicit wait for 10
14/02/2025 01:56:33 PM : root         : INFO     : exiting explicit wait..
14/02/2025 01:56:33 PM : root         : INFO     : logo image is visible: 
14/02/2025 01:56:33 PM : root         : INFO     : status: [True, True, True]
14/02/2025 01:56:33 PM : root         : INFO     : ********** TC_Portal_Login_02 started ********
14/02/2025 01:56:33 PM : root         : INFO     : verify_username_textbox_is_visible_and_clickable_username_label_on_it_is_visible
14/02/2025 01:56:35 PM : root         : INFO     : Username text box is visible.....
14/02/2025 01:56:35 PM : root         : INFO     : Username text box is clickable.....
14/02/2025 01:56:36 PM : root         : INFO     : actual username label: Username
14/02/2025 01:56:36 PM : root         : INFO     : expected label is : Username
14/02/2025 01:56:37 PM : root         : INFO     : status: [True, True, True]
14/02/2025 01:56:37 PM : root         : INFO     : ********** TC_Portal_Login_03 started ********
14/02/2025 01:56:37 PM : root         : INFO     : verify_password_textbox_is_visible_and_clickable_password_label_on_it_is_visible
14/02/2025 01:56:39 PM : root         : INFO     : Password textbox is visible.....
14/02/2025 01:56:39 PM : root         : INFO     : Password textbox is clickable.....
14/02/2025 01:56:40 PM : root         : INFO     : actual password label: Password
14/02/2025 01:56:40 PM : root         : INFO     : expected password label: Password
14/02/2025 01:56:41 PM : root         : INFO     : status: [True, True, True]
14/02/2025 01:56:41 PM : root         : INFO     : ********** TC_Portal_Login_04 started ********
14/02/2025 01:56:41 PM : root         : INFO     : verify_cloud_login_button_is_visible_and_clickable_cloud_login_text_on_it_is_visible_click_on_cloud_login_and_verify_missing_username_msg_is_visible
14/02/2025 01:56:43 PM : root         : INFO     : Cloud Login button is visible.....
14/02/2025 01:56:43 PM : root         : INFO     : Cloud Login button is clickable.....
14/02/2025 01:56:44 PM : root         : INFO     : actual login text: LOGIN
14/02/2025 01:56:44 PM : root         : INFO     : expected login text: LOGIN
14/02/2025 01:56:45 PM : root         : INFO     : clicked on CLOUD LOGIN button.....
14/02/2025 01:56:46 PM : root         : INFO     : Missing username message is visible.....
14/02/2025 01:56:46 PM : root         : INFO     : status: [True, True, True, True]
14/02/2025 01:56:46 PM : root         : INFO     : ********** TC_Portal_Login_05 started ********
14/02/2025 01:56:46 PM : root         : INFO     : verify_events_button_is_visible_and_clickable_text_and_exclamatory_icon_on_it_both_are_visible_click_on_events_and_verify_missing_username_msg_is_visible
14/02/2025 01:56:48 PM : root         : INFO     : entered explicit wait for 10
14/02/2025 01:56:48 PM : root         : INFO     : exiting explicit wait..
14/02/2025 01:56:48 PM : root         : INFO     : Events button is visible.....
14/02/2025 01:56:48 PM : root         : INFO     : Events button is clickable.....
14/02/2025 01:56:49 PM : root         : INFO     : actual text on events button: Probable Match Events
14/02/2025 01:56:49 PM : root         : INFO     : expected text on Events button: Probable Match Events
14/02/2025 01:56:50 PM : root         : INFO     : Events button is clicked....
14/02/2025 01:56:51 PM : root         : INFO     : Missing Username message is visible.....
14/02/2025 01:56:52 PM : root         : INFO     : Exclamatory icon on button is visible.....
14/02/2025 01:56:52 PM : root         : INFO     : status: [True, True, True, True, True]
14/02/2025 01:56:52 PM : root         : INFO     : ********** TC_Portal_Login_06 started ********
14/02/2025 01:56:52 PM : root         : INFO     : verify_identify_enroll_button_is_visible_and_clickable_text_and_camera_icon_on_it_both_are_visible_click_on_identify_enroll_and_verify_missing_username_mgs_is_visible
14/02/2025 01:56:54 PM : root         : INFO     : entered explicit wait for 10
14/02/2025 01:56:54 PM : root         : INFO     : exiting explicit wait..
14/02/2025 01:56:55 PM : root         : INFO     : Identify & Enroll button is visible.....
14/02/2025 01:56:55 PM : root         : INFO     : Identify & Enroll button is clickable.....
14/02/2025 01:56:56 PM : root         : INFO     : actual text on identify enroll button: Identify & Enroll
14/02/2025 01:56:56 PM : root         : INFO     : expected text on identify enroll button: Identify & Enroll
14/02/2025 01:56:57 PM : root         : INFO     : Camera icon on Identify & Enroll button is visible.....
14/02/2025 01:56:57 PM : root         : INFO     : Identify & Enroll button is clicked.....
14/02/2025 01:56:59 PM : root         : INFO     : Missing Username message is visible.....
14/02/2025 01:56:59 PM : root         : INFO     : status: [True, True, True, True, True]
14/02/2025 01:56:59 PM : root         : INFO     : ********** TC_Portal_Login_07 started ********
14/02/2025 01:56:59 PM : root         : INFO     : verify_users_button_is_visible_and_clickable_text_and_male_icon_on_it_both_are_visible_click_on_users_and_verify_missing_username_msg_is_visible
14/02/2025 01:57:01 PM : root         : INFO     : entered explicit wait for 10
14/02/2025 01:57:01 PM : root         : INFO     : exiting explicit wait..
14/02/2025 01:57:01 PM : root         : INFO     : Users button is visible.....
14/02/2025 01:57:01 PM : root         : INFO     : Users button is clickable.....
14/02/2025 01:57:02 PM : root         : INFO     : actual text on users button: Users
14/02/2025 01:57:02 PM : root         : INFO     : expected text on users button: Users
14/02/2025 01:57:03 PM : root         : INFO     : Male icon on Users button is visible.....
14/02/2025 01:57:04 PM : root         : INFO     : Users button is clicked...
14/02/2025 01:57:05 PM : root         : INFO     : Missing Username message is visible.....
14/02/2025 01:57:05 PM : root         : INFO     : status: [True, True, True, True, True]
14/02/2025 01:57:05 PM : root         : INFO     : ********** TC_Portal_Login_08 started ********
14/02/2025 01:57:05 PM : root         : INFO     : verify_account_button_is_visible_and_clickable_text_and_lock_icon_on_it_both_are_visible_click_on_account_button_and_verify_missing_username_msg_is_visible
14/02/2025 01:57:07 PM : root         : INFO     : entered explicit wait for 10
14/02/2025 01:57:07 PM : root         : INFO     : exiting explicit wait..
14/02/2025 01:57:07 PM : root         : INFO     : Account button is visible.....
14/02/2025 01:57:07 PM : root         : INFO     : Account button is clickable.....
14/02/2025 01:57:07 PM : root         : INFO     : actual text on account button: Account
14/02/2025 01:57:07 PM : root         : INFO     : expected text on account button: Account
14/02/2025 01:57:08 PM : root         : INFO     : Lock icon on Account button is visible.....
14/02/2025 01:57:09 PM : root         : INFO     : Account button is clicked...
14/02/2025 01:57:10 PM : root         : INFO     : Missing Username message is visible.....
