16/04/2025 06:47:22 AM : root         : INFO     :  ******** Portal_Login_Page (Order - 1) Begin ********
16/04/2025 06:47:22 AM : root         : INFO     : ********** TC_Portal_Login_01 started ********
16/04/2025 06:47:22 AM : root         : INFO     : open_portal_url_and_verify_expected_url_is_visible_verify_expected_page_title_is_visible_and_verify_face_first_logo_is_visible
16/04/2025 06:47:27 AM : root         : INFO     : actual url: https://ftecore5-vm.qa.facefirst.dev/
16/04/2025 06:47:27 AM : root         : INFO     : expected Portal url: https://ftecore5-vm.qa.facefirst.dev/
16/04/2025 06:47:28 AM : root         : INFO     : actual title: FaceFirst
16/04/2025 06:47:29 AM : root         : INFO     : expected title: FaceFirst
16/04/2025 06:47:30 AM : root         : INFO     : entered explicit wait for 10
16/04/2025 06:47:30 AM : root         : INFO     : exiting explicit wait..
16/04/2025 06:47:30 AM : root         : INFO     : logo image is visible: 
16/04/2025 06:47:30 AM : root         : INFO     : status: [True, True, True]
